name,category,c_end_product,weekend_status,evidence_level,detail,as_of,source_url
百度,互联网/搜索AI,"百度App、百度网盘、文心一言",部分双休,B,"不在 2021 年取消大小周名单中，因为原本就不是大小周制。仅有员工体验帖，无官方口径；分公司招聘 JD 曾写明互联网大厂双休。",2025,https://www.nowcoder.com/discuss/679606852476231680
网易,互联网/游戏音乐电商,"网易云音乐、蛋仔派对、网易严选",部分双休,B,"无官方双休公告，证据为员工 offer 比较帖与招聘页。游戏事业部互娱与雷火项目冲刺期周末加班普遍。",2025,https://www.nowcoder.com/discuss/353157784801845248
哔哩哔哩,互联网/内容视频,"B站、哔哩哔哩漫画",部分双休,B,"研发与产品侧口碑相对好；内容审核岗为轮班制，2022 年员工猝死事件后 B 站被曝删除工作时长 12 小时每天的招聘要求。",2022-02,http://finance.ce.cn/stock/gsgdbd/202202/08/t20220208_37313645.shtml
联想集团,消费电子,"联想笔记本、手机、平板",部分双休,B,"2025-03-13 公开回应反 996，称大部分人准时下班、准点下班并非作秀。官方未直接使用双休表述。",2025-03,https://www.zaobao.com/realtime/china/story20250313-6012281
比亚迪,新能源车,比亚迪汽车,部分双休,B,"员工反映研发岗基本双休，普工为拿加班费倾向单休，产线为排班制。同一公司两种作息的典型案例。",2025,https://m.toutiao.com/article/7520071111107756544/
大疆,消费电子,"无人机、Osmo、Pocket",部分双休,B,"2025-03 强制 21:00 下班、HR 扫雷式赶人；2026-05 离职员工爆料称工时不短但周末真属于你。属个人体验加媒体报道，无官方双休公告，强制下班与双休是两件事。",2026-05,https://m.techweb.com.cn/article/2026-05-07/2975108.shtml
胖东来,零售,"胖东来天使城、生活广场",部分双休,B,"于东来公开提议 40 小时工作制加 40 天年假，员工享 10 天自由假；并把「社保+双休」写进供应商准入标准，是本清单中唯一由企业方主动对外要求双休的案例。但门店仍为排班运营，未见公司层面全员双休公告。",2025,https://www.hntv.tv/news/0/2096806033801236482
乐视,互联网/视频,乐视视频,四天半工作制,A,"2023-01 宣布实行每周四天半工作制，周三下午弹性休息，官方回应不会降薪。优于标准双休但公司体量已大幅收缩。",2023-01,https://www.forbeschina.com/business/62798
海尔,家电,"海尔家电、卡萨帝",不明,B,"2025-03-10 网传海尔强制双休，海尔当日即公开否认，称未发过相关通知。信息冲突，不作为双休证据。",2025-03,https://m.thepaper.cn/newsDetail_forward_30357099
美的集团,家电,"美的空调、小家电",不明,B,"2025-03 报道 18:20 强制下班，公司回应年初已严禁形式主义加班、领导带头到点就走。没有任何官方信息宣布双休。",2025-03,https://www.guanhai.com.cn/p/373171.html
名创优品,零售/潮玩,"名创优品、TOP TOY",不明,B,"2025-02 起要求少开会、汇报不超 3 页、内部沟通禁用 PPT；2025-03 被列入反内卷报道样本。这些针对形式主义加班，并未宣布双休。门店一线为排班。",2025-03,https://news.ycwb.com/2025-02/06/content_53223285.htm
阿里巴巴,互联网/电商云/地图,"淘宝、天猫、高德地图、闲鱼、飞猪",岗位级双休,A,"智联招聘上阿里巴巴（中国）有限公司为主体的岗位标题直接写「周末双休」（如高德运维）；淘宝天猫、高德、闲鱼、飞猪岗位多由该主体发布，但标题未必写双休。未检索到全公司层面的官方双休声明，各事业群周末强度差异大。",2026,https://www.zhaopin.com/jobdetail/CC810733640J40843460613.htm
安居客,房产信息,安居客App,岗位级双休,A,"智联「安居客大客户销售-周末双休(J33466)」，带内部职位编码、发布主体为安居客，属销售职能岗，不涉及门店与经纪人。",2026,https://www.zhaopin.com/jobdetail/CC174894720J40712241914.htm
小熊电器,小家电,小熊创意小家电,岗位级双休,A,"猎聘企业发布 JD 直接含「（双休）」：西式高级研发工程师、产品企划，覆盖研发与企划等总部职能岗。不代表全公司。",2026,https://www.liepin.com/job/1985399797.shtml
贝泰妮,美妆护肤,薇诺娜,岗位级双休,A,"猎聘企业发布 JD：销售业财经理-医药/药妆-上市公司-周末双休。不代表全公司。",2026,https://www.liepin.com/job/1985474169.shtml
绿联科技,3C配件,"绿联数据线、拓展坞、NAS",岗位级双休,A,"猎聘企业发布 JD：深圳 海外销售员（OBM 模式，欧洲，双休）。不代表全公司。",2026,https://www.liepin.com/job/1984785645.shtml
追觅科技,清洁电器,"扫地机、吹风机",岗位级双休,A,"智联 JD：追觅视频剪辑师（双休+五险一金）。同期有「员工要创月薪 15 倍价值」的高压文化报道，双休与高压并存。",2026,https://www.zhaopin.com/jobdetail/CCL1278433670J40839424001.htm
四川长虹精密电子,家电,"长虹电视、家电",岗位级双休,A,"JD：绵阳 电路工程师（智控产品）--国企 双休 五险一金。发布方为子公司，仅代表该子公司该岗位。",2026,https://hz.jrzp.com/main/job/jobDetails.aspx?pid=3331634609
唯品会,电商,"唯品会App、线下店",岗位级双休,B,"智联「唯品会总部运营/审核助理岗-双休-免费三餐」，工作地为总部。仓储与门店一线为排班。",2026,https://www.zhaopin.com/jobdetail/CC813357710J40882982813.htm
SHEIN,跨境电商,"SHEIN App、独立站",岗位级双休,B,"猎聘 SHEIN 主体岗位标题写「（双休 总部）」。供应链与仓储一线为排班。",2026,https://www.liepin.com/job/1985387611.shtml
哈啰出行,出行,"哈啰App、顺风车",岗位级双休,B,"智联「哈啰总部-租车售后客服 大型公司|双休」，工作地写明为总部。",2026,https://www.zhaopin.com/jobdetail/CCL1289361510J40859113801.htm
花西子,美妆,花西子,岗位级双休,B,"猎聘多个岗位标题含「花西子双休」（销售管理高级经理、高级直播运营）。直播电商岗实际作息波动大。",2026,https://www.liepin.com/job/1983054309.shtml
大麦网,演出票务,大麦App,岗位级双休,B,"智联 JD：阿里-大麦-票务专员（西安）双休。演出旺季票务高峰加班普遍。",2026,https://www.zhaopin.com/jobdetail/CC641703630J40829919907.htm
好未来,教育,"学而思、学而思网校",岗位级双休,B,"智联：招聘专员（校招方向）/双休/上市公司，发布方为学而思主体。但教师与辅导岗的周末本身就是工作日。",2026,https://www.zhaopin.com/jobdetail/CC602273320J40852639701.htm
爱尔眼科,医疗,爱尔眼科医院,岗位级双休,B,"JD：眼健康服务专员（上市公司、双休、五险一金）。临床岗（医师、护士、验光）为排班轮休，周末是接诊高峰。",2026,https://www.quanzhi.com/job/6a89402cc24b0728e63d6778
爱康国宾,体检,爱康国宾体检,岗位级双休,B,"JD：广东渠道业务代表（双休+无责底薪），发布方为广州爱康国宾健康检查有限公司。体检中心一线为排班。",2026,http://yqjd.job1001.com/jobs/53113367.html
蚂蚁集团,金融科技,"支付宝、余额宝、花呗",岗位级双休,B,"第三方招聘平台多条岗位标「周末双休」；网传「1055」工作制仅为知乎爆料，无官方确认。",2025,https://m.liepin.com/city-yaan/zpzhifubao03/
泡泡玛特,潮玩,"泡泡玛特、Labubu",岗位级双休,C,"出现「泡泡玛特英文场控 双休 五险一金」JD；门店与零售岗为排班。",2026,https://www.quanzhi.com/job/6900624a48a25fd0d5269db7
猿辅导,教育,"猿辅导、斑马",岗位级双休,C,"智联出现「下午一点上班！入职缴纳 7 险 1 金双休」——教育行业典型作息（下午上班、晚间结束）。",2026,https://www.zhaopin.com/jobdetail/CC287198080J40689761614.htm
叮咚买菜,生鲜电商,"叮咚买菜App、前置仓",岗位级双休,C,"猎聘「超市保洁推车员」JD 写「上五休二，8 小时不加班」；但与「管培生别去」类负面反馈并存，可信度低。",2026,https://www.liepin.com/job/1985571177.shtml
肯德基中国,餐饮门店,"肯德基餐厅、KFC App",排班制,A,"2024-07 重庆市渝中区人社局批复重庆肯德基部分工作岗位实行特殊工时制度，直接证明餐厅岗位非标准双休（法律上为周期内调休）。",2024-07,https://www.cqyz.gov.cn/bm_229/qrlsbj/zwgk_97157/fdzdgknr_97159/xzxk/bljg/202407/t20240704_13349172.html
瑞幸咖啡,餐饮门店,"瑞幸咖啡App、门店",排班制,A,"2025-07-31 重庆市渝中区人社局批复瑞幸咖啡（重庆）部分工作岗位实行特殊工时制度。门店一线为排班。",2025-07,https://www.cqyz.gov.cn/bm_229/qrlsbj/zwgk_97157/fdzdgknr_97159/xzxk/bljg/202507/t20250731_14863892.html
海底捞,餐饮门店,"海底捞火锅门店、外卖",排班制,A,"赣州市章贡区政府批复简阳市海捞餐饮管理有限公司章贡区分公司部分岗位实行不定时工作制和综合计算工时工作制。",2026,https://www.zgq.gov.cn/zgqxxgk/c114459/202609/18017a42ed4c4367b895ce75c052073d.shtml
永辉超市,零售门店,永辉超市门店,排班制,A,"2024-04 盐城市人社局批复江苏永辉超市部分岗位实行特殊工时工作制；桐城市公示安徽永辉综合计算工时工作制。年报员工权益章节只承诺依法保障休息休假权，未承诺双休。",2024-04,http://jsychrss.yancheng.gov.cn/art/2024/4/3/art_23869_4173298.html
中国中免,免税零售,"中免集团、三亚国际免税城",排班制,A,"2024-02 三亚市海棠区行政审批服务局批复中免集团三亚市内免税店实行不定时工作制和综合计算工时工作制。",2024-02,https://ht.sanya.gov.cn/htqxzspjsite/bmwjxx/202402/d72d5b8e3b354b30953209f7f99d66da.shtml
麦当劳中国,餐饮门店,"麦当劳餐厅、麦乐送",排班制,B,"信用中国（保定莲池区）公示北京麦当劳食品有限公司保定建华大街餐厅等法人行政许可（特殊工时类）。餐厅一线为排班。",2026,http://xy.baoding.gov.cn/lianchiqu/doublePublicity/licensContent/468959966661705728/786049725713580032
古茗,餐饮门店,古茗奶茶门店,排班制,B,"门店招聘信息明确写「班次：早/中/晚班轮班，月休 2 天」，与每周休两天差距明显。",2026,https://www.yupao.com/zhaogong/427524007.html
李宁,运动服饰,"李宁门店、官方商城",排班制,B,"门店店员招聘写明「月休四天」（约每周休 1 天）。总部职能岗无公开来源。",2026,https://www.quanzhi.com/job/6a66cf2362f6005b2b3570ff
蜜雪冰城,餐饮门店,"蜜雪冰城门店、幸运咖",排班制,C,"加盟门店多由个体工商户经营，用工主体是加盟商；公司层面无双休统一承诺。",2026,https://b.dianzhangzhipin.com/job/1Xd83NW5GFE~.html
